(1040423W, 321333N)	(1042753W, 325634N)
(1035938W, 320844N)	(1041547W, 322014N)
(1041614W, 322759N)	(1042850W, 322621N)
(1041854W, 321039N)	(1044528W, 324756N)
(1044601W, 320917N)	(1041346W, 322556N)
(1042037W, 321311N)	(1042312W, 324907N)
(1041344W, 322514N)	(1041112W, 322449N)
(1042500W, 325326N)	(1042412W, 324652N)
(1044632W, 321122N)	(1034335W, 320419N)
(1042311W, 324522N)	(1042736W, 325034N)
(1044943W, 322002N)	(1042616W, 324854N)
(1042412W, 325032N)	(1041048W, 323311N)
(1042332W, 322307N)	(1044543W, 320600N)
(1042344W, 325004N)	(1041922W, 320823N)
(1042344W, 324834N)	(1041919W, 322442N)
(1043154W, 324703N)	(1041344W, 322514N)
(1035843W, 321049N)	(1043809W, 322026N)
(1035833W, 323556N)	(1044059W, 323818N)
(1041406W, 322433N)	(1043803W, 322633N)
(1042050W, 323542N)	(1035833W, 323556N)
(1034926W, 321310N)	(1041015W, 322104N)
(1040744W, 320735N)	(1044445W, 321127N)
(1040520W, 321151N)	(1044941W, 322658N)
(1031543W, 321402N)	(1041342W, 322514N)
(1042459W, 324509N)	(1044625W, 321209N)
(1041100W, 323146N)	(1041911W, 325127N)
(1042653W, 321049N)	(1042242W, 325006N)
(1042412W, 325032N)	(1042016W, 323758N)
(1040553W, 322531N)	(1035841W, 321121N)
(1044445W, 320925N)	(1040414W, 321148N)
(1044957W, 321835N)	(1043118W, 323850N)
(1042623W, 322817N)	(1042447W, 324958N)
(1043707W, 322302N)	(1044258W, 320851N)
(1042616W, 322527N)	(1044100W, 321250N)
(1041307W, 322422N)	(1041048W, 323311N)
(1042042W, 321449N)	(1041408W, 322520N)
(1040552W, 321700N)	(1040634W, 321353N)
(1042510W, 324900N)	(1035051W, 324529N)
(1043948W, 321008N)	(1043707W, 322302N)
(1042415W, 324808N)	(1041417W, 320838N)
(1042412W, 325032N)	(1042236W, 321032N)
(1042924W, 320537N)	(1042443W, 324614N)
(1042500W, 320415N)	(1041456W, 321043N)
(1034918W, 320205N)	(1042340W, 324612N)
(1043351W, 324853N)	(1042412W, 325032N)
(1042952W, 322110N)	(1042242W, 325006N)
(1042239W, 324538N)	(1042723W, 321413N)
(1044309W, 324650N)	(1034918W, 320127N)
(1042412W, 325032N)	(1042032W, 321445N)
(1041350W, 322618N)	(1042442W, 325037N)
